gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12
49	orphan-peak-10500	-0.017995873538872	0.136171817245031	0.0370800335202271	-0.0791134539823812	-0.173839960992255	-0.0854682484403441	0.0506440507335547	-0.149373906390466	-0.133802404025848	-0.0768496226482286	0.0811577456757136	0.11834505925342	0.149104813697744
50	orphan-peak-10515	-0.184883453050862	0.143707300650996	0.00722615483623984	0.121509102798264	-0.0267153225259771	-0.112144014005773	-0.164741674066531	-0.0619758321105085	-0.0268355647785772	-0.175310624082712	0.20334227019679	0.230346026846323	-0.113800419883448
51	orphan-peak-10518	-0.21459868563211	0.0515723446418201	0.0687599693616276	0.0982915663031297	-0.106263636517481	0.0014619291207506	-0.220171469925275	-0.091238827649198	0.31096302469475	-0.254987860810876	0.456290335754472	0.252892039462215	-0.285204462246613
52	orphan-peak-10526	0.00120091826610598	-0.0791292859556845	-0.0541794329429067	0.125662088164809	-0.0851892104185893	-0.0211127679913951	0.059610537915904	0.0207213548433338	0.00409838281996999	0.0840232452868326	-0.0257242337193035	-0.0216735466861294	0.311867107243391
53	orphan-peak-10549	-0.166818891624682	0.00543785798485674	0.0308466613222311	0.219204731189868	0.0681090361687263	-0.019376673365696	-0.134365754473868	-0.0107309954145675	0.0224538419333955	0.0388721471560312	-0.096713218477476	-0.0714295320484734	-0.0644814978825048
54	orphan-peak-10561	1.96722543218489	-0.958978213053382	-0.742251101479476	-0.950249122049677	-0.800323005330856	-0.550529716327761	-0.590053396335211	-0.838822698897939	-0.819561532641567	-0.772808010949104	-0.588798427128118	-0.726670787446471	-1.0191646012389
55	orphan-peak-10569	0.102462830933279	-0.118031905835771	0.0486796621518991	-0.0457099440840164	-0.125579298555362	-0.0894835045403103	-0.0379550143737178	-0.12998261396636	-0.0283060923170836	-0.0756689687049742	-0.10817025335412	0.590980641070829	-0.126703661826879
56	orphan-peak-10590	-0.400570412256659	0.100427807072616	-0.49376031459955	1.13894963419387	-0.0125264545317179	-0.413628025305158	-0.465398236195147	-0.329149447161114	-0.395007856096379	-0.491715689573223	-0.429457636440697	-0.347829101541428	0.0546409515830656
57	orphan-peak-10627	0.711982408738739	-0.144759182968775	-0.532277803809252	0.332976947232276	-0.360821316490613	-0.275845223882367	-0.523134201477206	-0.638058780294376	-0.483391098042914	-0.368750287047689	-0.554974689822532	-0.534814740263529	-0.337339200819782
58	orphan-peak-10677	-0.12228805302311	0.290551695558243	-0.109309191264878	0.117830841691363	-0.0988057414825568	-0.109643569318835	-0.0965067182464327	-0.10887063406903	-0.0515140628240224	-0.108174563096227	-0.0983915088450819	-0.108077735189409	-0.106104856926012
