gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12	cell_cluster_13
53	TRINITY-DN10456-c0-g1-i6.mrna2	0.000396976768024176	0.00825042819889718	-0.00323226741561376	-0.00322202283412107	-0.00320944138557245	-0.000166257015382859	-0.00320730964156878	-0.00316889678872826	-0.00307996216839314	-0.00306700201853082	0.0137068768082369	-0.00300918534877374	-0.0030070771540487	0.0233386189837359
54	TRINITY-DN10468-c0-g1-i1.mrna1	-0.00108580864571496	-0.00432633363422219	-0.00419895421810197	-0.00418565019167403	-0.00416931137690068	0.00142102067842254	0.0269096391695286	-0.00411665811539555	-0.00400116157715549	0.00530395666846518	-0.00391809279499981	-0.00390924447257421	-0.00390650656179886	-0.00387155812769213
55	TRINITY-DN10471-c0-g1-i2.mrna1	0.088747739175889	-0.221659186096525	-0.216873995108593	0.89221018970564	-0.228037609359277	0.0424167623497493	-0.1760974306793	-0.210521817870595	-0.159265154593582	-0.225327012408236	-0.231140926147648	0.12374353336738	-0.212450580412769	-0.194091773954531
56	TRINITY-DN10479-c0-g3-i1.mrna1	-0.00490266875248184	-0.0046618599203966	-0.00452461715048133	0.036446476036632	0.00189152287666871	-0.00449044140442458	-0.00448969608625041	-0.0044359481253883	-0.00431150699784808	-0.000486981333837569	-0.00422200450567889	-0.00421247085366175	-0.00420952088241845	-0.00417186553556468
57	TRINITY-DN10488-c0-g1-i5.mrna1	0.0152387285340738	-0.0151623329599332	-0.00667066432052521	-0.018306013625141	-0.000254481719324889	0.0414112246288357	0.002185222782125	-0.00382772187755724	0.0160476238730026	-0.0233373870365828	0.00986564076243557	-0.0246981960877661	-0.0246810221458836	-0.0244617879328936
58	TRINITY-DN10488-c0-g1-i6.mrna1	0.0104521020779489	-0.00299663538381925	0.00277100224050465	-0.00289914754656095	0.000643438074715564	-0.00288638661757586	-0.00288590727227814	-0.00285133994310601	-0.00277130895125922	-0.0027596463391401	-0.0027137493339658	-0.002707618257321	-0.00270572113837537	-0.00268150520295157
59	TRINITY-DN10503-c0-g1-i5.mrna2	-0.00154137584662338	0.0164859073572825	-0.00569334763871078	-0.00567531806022436	0.00215139648204153	-0.00565036140575252	-0.00564942394207418	0.0159877649642298	-0.0054252935304881	-0.00540248293987502	-0.00531271250519142	-0.00530072046125736	-0.00529700979254884	-0.00524964423782798
60	TRINITY-DN10525-c0-g1-i1.mrna1	0.00784533127472165	-0.00364877433256658	-0.00354131968922092	-0.00353009677302781	-0.00351631381377046	-0.00351456203013293	-0.00351397849006362	-0.00347189718663334	0.0306570172632669	-0.003360270886095	-0.00330439604006802	-0.00329693206055306	-0.00329462250444541	-0.00326514192193751
61	TRINITY-DN10536-c0-g1-i1.mrna1	0.0185662838682142	0.00954009275009286	-0.0128972095163332	-0.0143419981567152	-0.00485881292604571	0.0227750880419556	-0.0180611303327417	-6.59209858969306e-05	-0.014638256086897	-0.0232250467246269	0.01109303192216	-0.0212431655891457	0.00106501022663081	0.0340739876798063
62	TRINITY-DN10536-c1-g1-i1.mrna1	-0.000368086921161257	-0.00181057401191293	0.0144060983246289	-0.00175164821274377	-0.00174480485398052	-0.00174393508057513	-0.00174364534877498	-0.00172275183749909	-0.00167437951021678	-0.0016673304835153	-0.00163958998605383	-0.00163588434333804	-0.0016347377197232	-0.00162010159790238
63	TRINITY-DN10546-c0-g1-i1.mrna2	-0.0049120983270389	-0.00467082708335318	-0.00453332073929931	0.00775678516632294	-0.00450132109225588	-0.00449907935496516	0.0154693599492327	0.0168221725498821	-0.00431980125975713	-0.00430163177308697	-0.0042301268394663	-0.00422057487333027	-0.00421761923517628	-0.00417989155117383
64	TRINITY-DN10574-c0-g3-i1.mrna1	0.000760406673425043	-0.000918602506756083	-0.000891525258015449	-0.000888697308151361	0.00234536089615454	-0.000884782891563208	-0.000884635852799808	-0.000874032443198668	-0.000849483887014536	-0.000845906598081166	-0.000831828741736071	-0.000829948197745452	-0.000829366308306153	0.017552806678057
65	TRINITY-DN10575-c1-g1-i1.mrna1	0.0109202343993615	-0.00266737092867336	-0.00258879221553488	-0.00258058528713001	-0.00257050631171516	-0.00256922529808554	0.00321561420670778	-0.00253802622830836	-0.00246678176349832	-0.002456399614776	-0.00241554183050853	-0.00241008392078203	-0.00240839509818518	-0.00238683800056132
66	TRINITY-DN10579-c0-g1-i1.mrna1	0.0219538952717349	0.0436872606763589	-0.0252137879995329	-0.021405705328785	-0.0146191753919171	-0.0225064873324848	0.014319131624318	-0.00844755591153262	0.00174680569791409	-0.00780094085278944	-0.0301531161802017	0.0347631355302932	-0.0300647532087532	-0.0297981887862196
67	TRINITY-DN1059-c0-g1-i2.mrna2	-0.104612046252317	0.313599838589057	-0.123210737358412	-0.106550083945446	0.0549424093571443	-0.079036765404803	-0.14888871468236	0.0149865373128527	0.302162856879267	0.00370950507006437	0.0256299948856579	-0.145165757171543	-0.0963697660423388	-0.117712203278363
