gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12
11	Hvul-g10027-1	0.0124396670007493	0.0737324436373502	-0.0305005257289319	-0.0890447806497538	-0.0569756917839255	-0.0643901509739095	0.047528730108672	0.113437283114535	-0.0101538659512091	0.0482010802014899	-0.0402884629048524	-0.0609457729615428	-0.0681967199841619
12	Hvul-g10028-1	-0.0158791340555581	-0.00186711030112766	-0.00724698513414417	0.0572640535271045	-0.00362706279185098	-0.00889331113880192	-0.00221682549453997	0.000157337607920431	-0.014934038711572	0.0395501502896097	-0.00958380472661011	-0.0123013039780325	-0.00970276864881121
13	Hvul-g10029-1	-0.00827283342807253	-0.0329881279519246	0.0370807405367396	-0.0566661411060826	-0.0217231991531673	-0.0388027772150284	-0.0595794311192954	0.297928061382781	-0.0325088383896067	-0.0598897877126831	0.0350364882108172	-0.0378995708242464	0.00669080479903374
14	Hvul-g10030-1	-0.167438789996335	-0.0903469018790278	-0.0234320149136885	0.38670645879866	0.00789329578017658	-0.150261744086526	0.0313836184303742	0.248084366803335	-0.0750196233148353	0.0148510156323793	0.211652798409426	-0.0735223604552821	0.035287006936665
15	Hvul-g10031-1	-0.0850139693467617	-0.0281134161725105	0.00349464025772839	0.152174152572245	-0.0174095650416544	-0.0325080986403607	0.00567566518202377	0.125762397699008	-0.039706978186806	-0.0190678347407581	0.127242227194556	-0.0750781909106049	0.108523443367244
16	Hvul-g10032-1	0.0111827008286015	0.0298241522736691	-0.024954808584008	-0.0453332363350792	0.0368226062569832	-0.0606263959084423	-0.0195746604732714	0.0835186403375789	-0.0637352908447328	0.109682121073022	-0.0194402984699913	-0.027503619622342	-0.0494946885003273
17	Hvul-g10033-1	-0.107445170567625	-0.102961774450171	0.00127114742355314	0.576432130192575	-0.0894807035251357	-0.0797483633762601	-0.0910061376101477	-0.0908226705829904	-0.0897296165794821	-0.0889904781809793	0.0177559573106009	-0.088647720176593	-0.0805105411140818
18	Hvul-g10034-1	2.30704351186107	-1.51094876453366	-1.49503745427708	-1.24224698993082	-1.32770504321808	-1.20088054058578	-1.30537288679903	-1.38501436332925	-1.26829957612845	-1.27727676868927	-1.29135707066327	2.1905830945461	-1.27363971994807
19	Hvul-g10035-1	0.142537236935177	-0.432340771740606	-0.425325585741378	-0.385411857005837	-0.355786345655093	-0.358990110456052	-0.301595019904046	-0.379492837852744	-0.316537788210679	-0.323711248974944	-0.375470646151385	3.16132591986957	-0.358261707606481
20	Hvul-g10037-1	-0.0451298121328678	-0.0426486042000504	0.0357045931652778	-0.0174819756972056	0.104250769816399	-0.0194101087379516	0.0826497557790478	-0.00213111531767801	0.022064536691169	0.167036934874769	-0.109578691062335	-0.0485257565846213	0.00788278474002269
