gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10
1776	v1g55558	-0.0812256665806278	-0.0102505019171947	-0.0701806431583248	0.45249901301894	-0.0531401962988999	0.0184540019198163	0.0525794750915798	-0.0583257407927195	-0.0583681212931813	-0.0579117054328398	-0.0586532534377129
1777	v1g56483	1.0141825155122	-0.712766170695877	-0.585282307100103	-0.535859564060229	-0.358922263477819	-0.460076257185058	-0.353314624418729	-0.22464811209496	-0.155562665679239	-0.377571653117117	1.49737274526092
1778	v1g56592	-0.104291433250849	0.922460920165273	-0.641823418263545	-0.142247013470866	-0.605080726013615	-0.463578369238509	-0.539300952948905	-0.278488024619285	-0.900095048952465	-0.297529958677429	-0.685011948250496
1779	v1g57113	0.19539792182795	-0.129337387391969	-0.101903837556434	-0.0307326585238311	-0.114800777144635	-0.128157091613116	0.254690735788427	-0.124072210937075	0.0833798006833969	0.109138136265841	-0.125501790721664
1780	v1g57160	-0.128071370631388	-0.243654597337021	-0.263572336329263	-0.191457011953375	-0.155469643633545	-0.0164351763157957	-0.247993141627807	0.0507513722003737	-0.260156527465269	-0.253487486075597	3.5173202165516
1781	v1g57260	0.0124964223466976	-0.0343369720964643	-0.012135090243899	0.0119558475390691	-0.0425186961314458	-0.0413575217188919	0.367183526073379	-0.0407608101069941	-0.0407504951460741	-0.0404299169405371	-0.0404299169405371
1782	v1g57443	0.310579032125426	-0.210157648838564	-0.258420576525111	-0.175918348304167	0.15116301716296	-0.225021786847513	0.821682248736776	-0.326660299730085	-0.24474206130526	-0.323268259781091	-0.325024001128655
1783	v1g58114	-0.162002131349499	-0.153890023370275	-0.103527327541216	-0.122517904382485	-0.0956525842808159	1.73632547793979	-0.139585022295083	-0.137887680398896	-0.138571662363812	-0.136269251503493	0.0514709618858395
1784	v1g58204	-0.0919908732329666	-0.0594336369017728	-0.14536194728115	0.820149474461678	-0.128194977746713	-0.0859288340163236	-0.0531607661887413	-0.125251914578637	-0.100204388144867	-0.124338553574649	-0.124687284251601
1785	v1g58480	-0.220501221524839	0.14334033680731	0.273594079761066	-0.185638164945122	0.0530122742992182	-0.0435746979272854	-0.29487432744524	-0.218033252439869	-0.000364233480286746	-0.185571136176455	-0.132052001852535
1786	v1g59063	0.035491011541244	-0.0213147244743355	-0.063170604060908	0.124712506274939	-0.0567027797063683	0.0447937550982704	-0.0469130930266538	0.0911139301505031	-0.0523575105973997	-0.0518787667468632	-0.0519261102645586
1787	v1g59496	0.481702826795599	-0.126624419942566	-0.296894605688004	-0.147791418761899	-0.210049208392112	-0.266272075859686	-0.169713692987138	-0.329895366742743	-0.185049727187966	-0.324250980952901	-0.326633381583965
1788	v1g6001	0.110741915019112	-0.151099667686623	0.0406686607060994	0.0234332316597688	0.0134148595710916	0.0766918015002802	-0.119889077449878	-0.12014193869039	-0.0957301589963929	-0.118041535106855	-0.118662201517142
1789	v1g60683	-2.11583397445928	-0.795763138871552	0.858854204106982	-1.80470725773727	-1.15015116877127	-1.63338431729795	-0.948211211103336	-1.80931486937385	4.94758735781074	-1.23803743228534	-1.53311254336713
1790	v1g60804	-0.0425724765338271	-0.0230195919752532	-0.0301874665618596	-0.0666789922707189	-0.0437158748798996	-0.0880546207174496	0.830128897458774	0.126022175842236	-0.0436031816566454	-0.0877000240672708	-0.086114450397149
1791	v1g60847	-0.11348101610087	0.143990800480175	0.0125493044381124	0.0655942349961091	-0.0426015025784751	0.0473959782822298	-0.109983295089352	-0.109532538150295	-0.082607281542036	-0.062340963573964	-0.108663962306896
1792	v1g61034	0.133897624003023	-0.0836311431273727	-0.0534612504509191	-0.0764121749402465	-0.0680170195398996	-0.0226878022601774	0.0459698609317333	0.0974979548163662	-0.0716902475100783	-0.0670203714935329	0.128903615085942
1793	v1g61309	0.0203127763776988	0.0026262159305627	0.00999312323727909	-0.0372006805622345	-0.000601045140789257	-0.0357424191434133	-0.036913011773734	-0.0352257372117696	-0.0352168059232843	-0.0346270571893444	-0.0349105094260536
1794	v1g61471	-0.0376910492901401	-0.0463915039741959	0.131925119994903	-0.0453599596942636	-0.0448233599702844	0.117933468702143	-0.0432720163015455	0.0158169721912732	-0.0429473988747975	-0.0426097918583818	-0.0426097918583818
1795	v1g63016	0.329677340605517	-0.219403215071252	-0.204690579113979	-0.00238149459771175	-5.92749541726278e-05	-0.0667648291299908	-0.150314816125607	0.114148230436725	-0.22411408150028	0.2067844579751	-0.220466296208336
1796	v1g63173	-0.0646381363767293	-0.114923752988556	-0.0562681408349474	0.00560087186015951	-0.0989925235032555	0.911011046399503	-0.0551382695020234	0.499416149689574	-0.0943221221971561	0.048772856721358	0.0421245672241242
1797	v1g65111	-0.00752739297766378	0.0563028654326578	-0.0506224236480783	-0.0795791269727257	0.0496920238228989	0.213340988013548	-0.0815338710496428	-0.0837649852905411	-0.0508349957435614	-0.0848456709083275	-0.0838444186833751
1798	v1g65149	-0.026612839678254	0.00694915963326821	-0.0033799949567964	0.114789002053521	-0.020123183607088	-0.0046674830038693	-0.0186123734526406	-0.0185320671955329	-0.0185273413218912	-0.0183804752344402	-0.0183804752344402
1799	v1g65450	3.07532431112677	-2.43793065019289	-1.97759541693724	-1.89498615262969	-1.95383178221712	-1.15468538884238	-0.91648340583866	-0.658243139496789	-2.76982543134764	-2.16115612552406	-1.31861966190771
1800	v1g65595	-0.0987211556805839	-0.0925938351252947	0.29935630876519	-0.0149259677020464	-0.0631919396071363	-0.0839236551460531	-0.0255708339609797	-0.0850037698007927	0.0347198126320636	-0.0878672438684925	-0.0881522786283148
1801	v1g6627	-0.00609661350957062	0.00845756465055485	-0.0029038896142056	-0.0105581882500915	0.0108408437894664	-0.0102010514347784	0.0483799411079277	-0.0101038265584236	-0.0107217414472773	-0.0103325097273157	-0.0100026822042021
1802	v1g66284	-0.197276119962407	-0.11508195913694	-0.0943164383096096	-0.132622184819266	1.19698689345818	-0.0559584858346707	-0.149311074125442	-0.14979318430591	-0.0694290109561947	-0.131975629253602	-0.148466548395851
1803	v1g66315	1.01171574477574	-0.874048292645986	-0.0860636432240263	-0.305398815103551	-0.716659972778668	-0.439993177234632	-0.657733624776356	-0.516847173034408	-0.552545626753189	-0.574352691084957	0.184191312489962
1804	v1g66332	0.0408256819732918	-0.00370855720569704	-0.0233903817584841	-0.0211008952965972	-0.0215274219809761	-0.0196728705342968	-0.0195296871826552	-0.0215205963206863	-0.0193819825993518	-0.0192283868205077	-0.0192283868205077
1805	v1g66338	-0.21471747395384	-0.120138910754377	-0.271371658029454	1.25744301240571	-0.107511111837906	-0.229378532247981	0.385892452591375	-0.196437815784525	-0.277061404637888	-0.284423095147344	-0.2750375898555
1806	v1g66805	0.167095244163805	-0.0248721782575513	-0.0354360873650414	-0.105164341036801	-0.159775178656095	-0.125146769371388	-0.177366078216366	0.0929605994511732	-0.216863244006124	-0.133187187740862	-0.114665305887254
1807	v1g67043	0.125791546734086	-0.452268637636853	-0.639865401736484	1.56742661797615	-0.485845376754024	-0.694723785584322	0.68391830346082	-0.667446212040199	0.189444799425283	-0.309054165917984	-0.514336249776996
1808	v1g67598	-0.171313929724856	0.116247830883281	0.197614673399786	-0.0896509119961024	0.0106595224884821	-0.0751680966334332	-0.142578004882942	-0.140707373354116	-0.0130371188984467	-0.0941256173770175	-0.140260618980876
1809	v1g68155	0.0368271836759219	0.00453443013908369	-0.0307623016263355	0.0374787686736741	-0.0465764366698458	-0.045429896867931	-0.0452951043949157	-0.00237286993406743	-0.0451642286955996	-0.0444671560013932	-0.0418854219046481
1810	v1g68574	-0.349558314453321	-0.297476267211035	-0.268573310417406	-0.255226008915711	-0.289490070688463	2.68902765050011	-0.245257422291885	-0.281236990591152	-0.282106675345725	-0.0985236105926056	-0.28006106173981
1811	v1g70174	-0.0345277053948852	-0.0913268437387208	-0.0578455947651994	-0.14722791772716	0.711412082914644	0.0927976659540911	-0.0563698866548109	-0.178353479330941	-0.177483713166285	-0.176914236063169	-0.17560960124686
1812	v1g70299	-0.103620244517186	0.0357050987164357	-0.11299237705362	-0.0690463806525557	-0.0353069671154026	0.882235508130775	0.149433659311507	-0.0483228054438007	-0.0942095891962828	-0.0309522902692615	0.0320501308356993
1813	v1g70313	-0.0892373200433469	-0.0293642547740026	-0.0201664936232962	0.169785437482749	-0.0632425983851994	0.0450925868968667	0.248686483570768	-0.0693783708852279	0.508039964451866	0.103953762267457	0.044668994332843
1814	v1g70520	-0.134912918001161	-0.157988935063698	-0.133140800087041	-0.126811762248074	-0.0387755900631852	1.66676320180087	0.0162672067688482	-0.0827957840914421	-0.143096118125924	-0.138907869036563	-0.141431242128724
1815	v1g72592	0.0492993896201598	-0.0826787210687218	-0.130447819310079	-0.0262603028776746	-0.114189314576995	0.6308318050912	0.0843016042029969	0.286623062801214	-0.112215281611909	-0.108302902330888	0.128197440551493
1816	v1g72642	-0.0271339922347278	-0.029929972814649	-0.00591786465607885	0.194888503540378	0.034218167498358	-0.0391640367979656	-0.0393766185726219	0.0174698451373219	-0.0385281673202435	-0.0386275047737381	-0.0382849794043047
1817	v1g72810	0.0808888739723017	-0.0388238251772287	-0.0429084763604588	-0.0197645774192259	-0.00564973838025946	-0.0393204269466772	-0.0379012452614753	-0.038877201952394	-0.0387962167192728	0.0991086726354108	-0.0387152958973062
1818	v1g76388	0.0433531416604038	-0.029662020148092	-0.0291356171719661	-0.025833725828379	-0.0243830775976751	0.126373717257531	0.0153359962558802	-0.0237195555335794	-0.0244509091664586	-0.0241921757062875	-0.0242574803960986
1819	v1g79043	-0.0808741761148049	-0.111085335547488	-0.080216378548246	0.683294022992846	-0.130101952014341	0.135591498787108	-0.0776161754714503	-0.10933137812888	-0.0927119846041853	0.0369236313948203	0.135375933285891
1820	v1g79120	-0.540751507863473	-0.526108013888906	-0.400582354490902	2.25868494829948	-0.355681957810403	-0.485337531342233	0.543069009062581	-0.250323100690776	-0.511358329300418	-0.264836751189501	-0.306800519621422
1821	v1g79314	1.74260893434663	-1.31847747295561	-1.09884558759832	-0.367970991670059	-1.18108888068987	-0.551830598362308	-0.306361345463457	0.238613146357994	-1.14803911304561	-1.23503725365071	0.00774606779226672
1822	v1g79348	-0.364461751163819	-0.310234484715189	-0.272269258076602	1.81470162409167	-0.266722476258236	-0.108626747672537	-0.33146046318013	-0.293059115797239	-0.0597093906169425	-0.329026436106179	-0.182523251262882
1823	v1g79411	0.519125721643426	0.132520600620175	-0.123004931826113	-0.844594121632013	-0.249186743159092	-0.754921896150961	-0.580728297014823	-0.671556092469606	-0.990503307269436	-1.07582519017748	-1.21787727717959
1824	v1g79516	-0.110207045748867	-0.0505171262763824	-0.00765162639393369	0.573366780197973	-0.0560412894666789	-0.0475451407040816	-0.0820428960212463	-0.0820570907179066	-0.0670061849329509	-0.0815351412920663	-0.0813711378831637
1825	v1g79650	-0.0742810956482616	-0.466895531788979	-0.360655751746392	-0.243539543731955	-0.279527032669616	0.323075638304038	-0.0974152724747252	0.187598063047468	-0.458869115020618	-0.332158987821654	3.81632501522831
1826	v1g79661	-2.30420004125873	-0.760053093291916	-1.09460889116906	-1.61003719923696	4.41436232122239	-1.75664213672866	-1.85244008242316	-1.72674950561084	-0.915235269331399	0.995474820142736	-1.38208502776046
1827	v1g79707	-0.0284044383484979	0.146631519451778	-0.106114131772498	0.0246915741032926	-0.106581405102042	-1.25242324149483e-05	0.0431028258490048	0.068532505390133	-0.105032086678334	-0.105048417216128	-0.0779362434278467
1828	v1g79756	-0.0987261469781082	0.153833762933378	-0.0620958510273528	-0.0602800834532299	0.0763122211254421	0.0721358703982327	0.162095807383784	-0.104880507697909	-0.0708106699998497	-0.0989951361656149	-0.103556162509865
1829	v1g79851	0.276203647528794	-0.170987717204913	-0.138637018269837	-0.0710678312944503	-0.135902241618565	0.0241306623256366	0.0685522235734325	0.157093968626378	-0.158712735253698	-0.155709298318244	-0.159234020711605
1830	v1g80003	0.156814807347349	-0.124172769610955	-0.101143799992128	0.0528110394399637	0.00689385153605584	-0.0951385463525618	0.139186255701483	-0.121051084955836	-0.162557418429231	0.322830760370441	-0.160381372084596
1831	v1g80250	-0.0898960362449961	-0.079791050245123	-0.0456936462026449	0.470795279614661	-0.0912525881426556	-0.0510282608676645	0.52331219722873	-0.0861862965336453	-0.0861648242816446	-0.0335411286463263	-0.0854974063310794
1832	v1g80319	0.651442378771755	-0.448400964826753	-0.379337423923495	-0.198575058311327	-0.421605684977273	-0.0187144768771929	-0.166589852069569	0.803207169365854	-0.413363010826192	0.0508096829959891	-0.0553511323492274
1833	v1g80332	-0.113276564693303	0.144270573089823	0.0232437901530924	0.0214481552711822	-0.0109577781628431	0.0189101091150833	-0.11000891034017	-0.147282192458692	0.00186284719477217	-0.070953733400953	-0.14188874751644
