gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11
25	Res-000006	0.0422911326313795	-0.0138440008558131	-0.0340391853835919	-0.0152919858160226	-0.0115339987570526	0.00579383571252093	-0.00246349429028767	0.0273969467329125	-0.0799398115430717	-0.0288755909180343	-0.0163867455041288	0.0682673334696532
26	Res-000007	-0.00772088508211678	0.0314196154733281	-0.0156082267083589	-0.0122965496226674	-0.00427442586049987	0.0017252395429759	0.0137696943483176	0.0219554156180387	-0.0126129838429274	-0.0109628219899343	0.00288887715675679	0.0231090828081175
27	Res-000008	0.0440606872263724	0.0932542328483503	0.0138446598081509	-0.0805410886431915	-0.0252991867545273	-0.132458844687328	-0.136053090657426	0.0974824847282196	-0.0142043546981302	-0.102825174018301	-0.000298798744311324	-0.0534813975874965
28	Res-000009	-0.0437996363457952	0.097097431307353	-0.0137516127334457	0.119967310664161	-0.0368677487735889	-0.309368810507726	-0.170399772315941	0.396715263356869	0.0346569432099203	-0.0139429969750315	-0.168656656836163	-0.17208386317989
29	Res-000010	0.00227818846584824	-0.0332272408389486	-0.0416650503274814	-0.0359530418068233	-0.034466085494418	-0.0322118308986583	0.38230012454788	0.0257967346094725	-0.00496658972886459	-0.0384917005648789	-0.0275699854966705	-0.0391895202364456
30	Res-000011	0.0456504146559904	-0.0318354971926011	0.0361535499131238	-0.037771939461661	-0.0381914671269266	-0.0447833561596254	0.0253206697182819	0.0123404176849197	-0.0384312601459841	-0.0107669975371185	-0.0467275751366719	0.0142965656094692
31	Res-000013	-0.0419900379826658	-0.0733108900949459	-0.089342838205878	-0.0693657231052369	-0.0801109941888987	-0.0628191159986813	0.112288524704915	0.374270292692441	0.699607071573633	0.0760248357332804	-0.00554815337037565	-0.0858976639679195
32	Res-000014	-0.00125261412556205	0.0458530123170665	-0.0447278551532483	-0.0442282302450012	0.0340905454409638	-0.019959812832631	0.0116074915133739	0.0661608948781088	0.0416858227703809	-0.0686237823205851	-0.0219829418875652	0.0222441207390524
33	Res-000015	0.0152807082512132	0.0218572075338789	-0.053722603191557	-0.0247256118870697	-0.0345595546351474	0.0972955046936684	-0.0411620583002508	0.0798067393140129	-0.0206447587320203	-0.0312363203857	-0.0347237469168452	0.0159115874129696
34	Res-000016	-0.148640841836969	-0.0347752266094322	-0.0509812231781231	0.103319489182772	0.178588261688951	0.0392214678161339	0.0212752033506237	0.0466666626257386	0.0494466542997865	0.270176751487658	0.0633651518483498	-0.0395629213525076
35	Res-000017	-0.0574983131931227	-0.0800257956324009	-0.0332421520461247	0.00435017728484066	0.0639474815463009	0.238457871243802	-0.091464399537088	0.146650583377509	0.114418332429765	-0.0653867623939364	-0.0728172231257145	0.175706486440282
36	Res-000018	-0.0214967191211687	-0.0362205918680446	-0.0369084325213929	-0.0318835833093028	-0.0253431050498319	-0.0225438579217076	-0.0372515368662202	0.166865920212618	-0.0142081056888668	0.109802484701643	0.574561295113126	-0.0236256690545279
37	Res-000019	-0.0164815011483748	0.0661680015185195	-0.0443834083217575	-0.0414077205437164	-0.00965970614662492	0.0164934608655051	-0.0125523201869755	0.0198383810885646	0.0215140903094527	-0.0525076761830294	-0.0309857482227156	0.425786262874995
38	Res-000020	0.029054918932737	0.0663343605978295	-0.0497822923689491	-0.0623596262799388	-0.0446829583004867	-0.069937165897614	0.00769639986775289	0.0764979851041058	0.0397879184275023	-0.0069941453393712	0.0331164179358929	0.0438280238706796
39	Res-000021	-0.692726180631113	-0.120817484302945	0.222173295796865	0.795688481140696	0.937538556244543	-0.822203530850641	-0.791942715192314	-0.263777218352969	-0.178569528663866	0.0345118558906035	-0.33329254414475	-0.21706405661587
40	Res-000022	-0.0676661572913483	0.0714664565314511	-0.00116673922367622	0.0692387984474889	0.0661099669471183	-0.163525867372845	-0.135842316623968	0.289796622325932	-0.0721826922671028	-0.00352180760278603	-0.101323357365225	-0.0674950292157179
41	Res-000023	-0.00277176695138895	-0.0121681729526505	-0.0420354009253298	0.0273692351152506	0.0261600120511437	0.0974645693807376	0.012694928144949	-0.0857047176564089	-0.019040252165725	-0.0486721119066221	-0.0521287141780298	0.0815855342831482
42	Res-000024	-0.00606165539732468	0.00473026670428069	-0.012643074196928	0.0142539564192647	0.0186704228305381	-0.00753408872040746	-0.0263071500918571	0.00550327765061905	0.0037857334166506	0.0320325610468095	-0.0262887519825568	-0.00160292837769903
43	Res-000025	-0.053533607618796	0.397472530242458	-0.224491763604955	0.054451495753558	-0.156145128099715	0.111682411752716	-0.43879531759573	0.0939780539327262	0.138406878112611	-0.040292199526978	-0.500680810476191	-0.066582033987499
44	Res-000026	-0.0045772350889059	0.119379985591653	-0.0751665603291882	-0.0705806857199817	0.0116073119522768	-0.0723281570834453	-0.0865150633310035	0.0427733845698517	0.0405954560792643	0.0562449051308655	0.0558871570820478	0.249933450916206
45	Res-000027	0.00209619531378031	-0.00314378543579212	-0.00102479219167732	-0.0028851698130077	2.8718576257504e-05	0.00155906754032383	-0.00665924164356149	-0.00540389373550903	-0.0065587141944702	-0.00189159917838001	0.00221278304367379	0.0808355609141057
46	Res-000028	0.0014046250427488	0.0574524295541821	0.0555541883481067	-0.0624980643382905	-0.026736010695411	-0.0550932782470147	-0.0157941123226819	-0.0315120787551525	-0.0390836330770483	-0.0274118837642083	0.0977865596163921	-0.0375763767863362
47	Res-000029	0.041522309740081	0.0260725898622982	-0.0110569013672566	-0.0350858688977292	-0.0320735706473814	-0.020363373492949	-0.0339764445696846	0.0267454917443956	-0.0721402570113269	-0.0110136709507248	-0.064381723507652	0.0251842691699872
48	Res-000030	0.0189197096748199	0.0163567507386044	-0.0232616313454432	-0.038507941241666	-0.0105109398704847	0.0119786795445986	-0.00570233800463968	0.0605097883132009	-0.029265163464744	-0.0816056587492483	0.0356298072384026	0.0583937799152637
49	Res-000031	-0.0177229966862783	0.0344439810137782	-0.0272766574590927	0.0145974321119192	0.00599439618629879	-0.00169168935832195	-0.0411897186464	0.0660669693913339	0.0158334403052037	-0.0402901723711268	-0.0381070986528992	0.100117267642393
50	Res-000032	0.0439918302112915	-0.0187297736070983	-0.0199243895190359	-0.0235563674637339	-0.0332330264471978	-0.0147178580363416	-0.0414208563347904	-0.036003994898173	-0.0350928291734589	-0.0232514327030365	-0.045109483248766	0.495991122782715
51	Res-000033	0.0345797053735389	0.026782147100689	-0.0456267629701467	-0.107800328529115	0.0156625506470335	0.0590822740075421	0.00275218305798508	0.0274828914803786	-0.0650258873789825	0.00623516033791804	-0.0843723041336594	0.185479102297527
52	Res-000034	-4.66013946192334e-05	0.0137962155363635	-0.00394352683031736	-0.0315959249848166	-0.0207117622516858	0.0413978488307064	-0.000483748100234299	0.0138749501467583	-0.00934436937893308	0.0438909529208294	-0.0145223697749448	0.0211225609040316
53	Res-000035	0.0194997070884709	-0.00482500746915955	0.0605374832045466	-0.0286971767719116	-0.0431336906435096	-0.0228735154365629	-0.0216755882473015	-0.0109551830231026	-0.0197986247770409	-0.0151110311219478	-0.0295043831521075	0.00334774052429158
54	Res-000036	0.0396445205360302	0.116933017808313	1.68072908151018e-05	-0.0981627564787553	-0.0227313240914067	-0.0768395194945189	-0.0885245853670877	-0.0085073716085477	-0.0551810040360193	-0.0256479371839591	-0.0842699919562649	0.0302358049059841
55	Res-000037	-0.0227971851429692	-0.0752323120883628	-0.0518835812992237	0.10601529122944	-0.0583325134824015	0.167126713732005	-0.00872324404561997	0.002447627831352	-0.0533735043883771	0.11807429417245	0.0231232795723461	0.12162087607735
56	Res-000038	-0.0031827501382453	-0.00587822451761916	-0.00782161576661305	-0.00723464990114107	-0.00809191433485966	-0.00652169160300331	-0.00205893556643231	0.104430920962049	0.0216582411943079	-0.00581089825246725	-0.00747672640929537	-0.00741957780968639
